,AFFILIATE|DESKTOP,AFFILIATE|MOBILE,B2B|DESKTOP,B2B|MOBILE,CONVERSION,DIRECT|DESKTOP,DIRECT|MOBILE,DISPLAY|DESKTOP,DISPLAY|MOBILE,ECONFO AND PRE-ARRIVAL EMAIL|DESKTOP,ECONFO AND PRE-ARRIVAL EMAIL|MOBILE,EMAIL|DESKTOP,EMAIL|MOBILE,NATURAL SEARCH|DESKTOP,NATURAL SEARCH|MOBILE,Null,OTHER|DESKTOP,OTHER|MOBILE,PAID SEARCH|DESKTOP,PAID SEARCH|MOBILE,REFERRAL ENGINE|DESKTOP,REFERRAL ENGINE|MOBILE,RESLINK|DESKTOP,RESLINK|MOBILE,SOCIAL MEDIA|DESKTOP,SOCIAL MEDIA|MOBILE,Start,TEST|DESKTOP,TEST|MOBILE,UNPAID REFERRER|DESKTOP,UNPAID REFERRER|MOBILE,Time_Period
AFFILIATE|DESKTOP,0.240776321,0.000839069,0,0,0.209098426,0.095228251,0.078884646,0.000826909,4.86E-05,0.002796897,3.65E-05,0.016890824,0.000644502,0.107595398,0.002857699,0.167667875,0.010810614,0.002444244,0.030923949,0.001276844,0.00578836,0.000109444,0.008232605,0.000170246,0.000887711,3.65E-05,0,7.30E-05,0,0.014920836,0.000133765,21-Jan
AFFILIATE|MOBILE,0.004940849,0.200904662,0,0,0.206263048,0.013361169,0.11809325,0.000139179,0.000765484,0.000278358,0.003061935,0.001043841,0.012456507,0.014057063,0.106680585,0.223312457,0.001530967,0.013361169,0.002157272,0.043006263,0.000835073,0.004732081,0.000139179,0.018371608,0,0.000556715,0,0,0,0.001043841,0.008907446,21-Jan
B2B|DESKTOP,0,0,0.421052632,0,0.157894737,0.052631579,0.052631579,0,0,0,0,0,0,0,0,0.263157895,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Jan
B2B|MOBILE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Jan
CONVERSION,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Jan
DIRECT|DESKTOP,0.008159744,0.000219314,6.94E-07,0,0.102380949,0.465939644,0.126155044,0.000861295,0.00012909,0.006265729,0.00016865,0.02494007,0.001089632,0.080003248,0.003953211,0.107825637,0.020310871,0.002912162,0.021834967,0.001211087,0.006265729,0.000138113,0.001691358,9.86E-05,0.001074363,3.89E-05,0,0.000122844,6.94E-07,0.01593777,0.000270673,21-Jan
DIRECT|MOBILE,0.00370066,0.001025175,0,0,0.007873163,0.071512951,0.751188725,0.000466144,0.000415142,0.000717452,0.00164803,0.006944579,0.005198248,0.043679929,0.016018719,0.051268733,0.00327754,0.011669275,0.006957971,0.00551167,0.001633214,0.0009642,0.000820596,0.000792673,0.000184919,0.000130498,0,4.73E-05,9.97E-06,0.004674263,0.00166826,21-Jan
DISPLAY|DESKTOP,0.00655599,0,0,0,0.166649043,0.150259067,0.069155123,0.20334144,0.000740192,0.002326319,0,0.018822037,0.000951676,0.076662789,0.002643544,0.230834303,0.015861267,0.001268901,0.017024426,0.000634451,0.007296183,0.000211484,0.000845934,0,0.009833985,0,0,0.000211484,0,0.017553135,0.000317225,21-Jan
DISPLAY|MOBILE,0.000865801,0.003896104,0,0,0.140692641,0.014862915,0.214430014,0.001154401,0.241269841,0.0002886,0.003318903,0.000577201,0.017604618,0.012265512,0.076479076,0.214862915,0.001010101,0.010533911,0.002597403,0.018759019,0.0002886,0.005483405,0.000721501,0.001010101,0,0.005916306,0,0,0,0.001298701,0.00981241,21-Jan
ECONFO AND PRE-ARRIVAL EMAIL|DESKTOP,0.008698462,0.000188512,0,0,0.065144211,0.214472302,0.115746102,0.000619395,2.69E-05,0.237659225,0.00121186,0.055907145,0.000780976,0.113807126,0.003204697,0.106535965,0.011445345,0.004174185,0.02647241,0.001077209,0.009102416,8.08E-05,0.003204697,0.000188512,0.001588883,0.000107721,0,8.08E-05,0,0.018177901,0.000296232,21-Jan
